id,anchor,target,context,score
03feadb4d6942b49,apply to requests,apply for license,H04,0.0
5a1c4586d47225a4,apply to requests,apply glue,H04,0.0
87e17c96e820f04d,apply to requests,apply http request,H04,0.5
14b42f89180cc1b0,apply to requests,apply request,H04,1.0
cd5f66ccdacfff8d,apply to requests,apply request message,H04,0.25
99d105ef372366ae,apply to requests,apply to both requests,H04,0.75
56b03ab7b1efe0c3,apply to requests,apply to both requests and responses,H04,0.75
e27b530dfcddce52,apply to requests,apply to command,H04,0.5
63e590ae5cdfb834,apply to requests,electronic ordering systems,H04,0.25
93d5299e9ea05403,apply to requests,filtering rules,H04,0.5
9ae65d4d1b0ff37c,apply to requests,friend request,H04,0.0
e00c0da285f53e17,apply to requests,personalized ordering model,H04,0.25
f35ab2c6d74d8e6a,apply to requests,polite request,H04,0.0
7b9038032f1a0f5c,apply to requests,re ordering unit,H04,0.25
eebbed12f31039a4,apply to requests,request apparatus,H04,0.25
583531649a497759,apply to requests,request leave,H04,0.0
b4634bfc24c614ef,apply to requests,request letter,H04,0.0
f3a42c6a8b9e20c7,apply to requests,request reply protocol,H04,0.5
a04d9e8fb63f13fb,apply to requests,respond to requests,H04,0.25
f901d5dc87525f5c,apply to requests,sampling rate,H04,0.5
8d2ad485e0fa3d4e,arcuate means,adjustment means,H04,0.25
c29aaee33fa661f2,arcuate means,arc shape,H04,0.5
4a70ea718bff9c82,arcuate means,arcuate ligament,H04,0.0
ed6648c9c664022b,arcuate means,arcuate receiving means,H04,0.75
84dd259f393baf16,arcuate means,arcuate surface,H04,0.75
b6fb95f5803567fe,arcuate means,circular ring sector,H04,0.25
749f8ac923643a80,arcuate means,concave lens,H04,0.0
b634a32b86f69dfe,arcuate means,concave mean,H04,0.5
84d023882c7a3a94,arcuate means,curve fitting,H04,0.0
c878a2f4b7d06ef0,arcuate means,curve mean,H04,0.75
370fdf2ced26e0fe,arcuate means,document arcuate means,H04,0.25
2b716cb386164c2e,arcuate means,document support,H04,0.5
f6b298aa4d3ff780,arcuate means,imparting an arcuate shape,H04,0.5
19f05d1679dbebb1,arcuate means,light,H04,0.25
65cf454ce967d35b,arcuate means,light source,H04,0.25
cf7e19a410922693,arcuate means,linear content,H04,0.25
c56a4d1d1ef48250,arcuate means,linear light,H04,0.25
8e5c08e795bb6799,arcuate means,linear light source,H04,0.25
14b5d45624eba562,arcuate means,linear source,H04,0.25
88880063ce960a01,arcuate means,means of communication,H04,0.0
c5c4601d41b168ea,arcuate means,means of transport,H04,0.0
33b732a9f2dce696,arcuate means,non linear distortion energy,H04,0.25
9c6bf42b394356a4,arcuate means,outer circular circumference,H04,0.25
2fc47716226444fe,arcuate means,segment tree,H04,0.0
f16d08d377911a50,arcuate means,semi cylindrical profile,H04,0.25
96dead50daa9ec58,arcuate means,source,H04,0.25
12ddefcc49a10d8b,arcuate means,tone mapping curve,H04,0.25
bca7625e08080981,average power ratio reduction,average annual score,H04,0.0
5fb7b080ac7caa37,average power ratio reduction,average current drain,H04,0.25
032f5d45c02097d3,average power ratio reduction,average expected payback,H04,0.25
79fe8ac8ff17f37c,average power ratio reduction,average marks,H04,0.0
e86d818a6cdf605c,average power ratio reduction,average medical data level,H04,0.25
a6cd8aa69a563b79,average power ratio reduction,average power reduction,H04,0.75
e1e4deff434ec66a,average power ratio reduction,average power suppression,H04,0.5
5a0861c371f30379,average power ratio reduction,average ratio reduction,H04,0.5
6e48181637e1432d,average power ratio reduction,average ratio suppression,H04,0.5
cfa4d686838e63da,average power ratio reduction,average voltage ratio reduction,H04,0.5
ab377ba22e97343e,average power ratio reduction,average weight,H04,0.0
febfd5df122b2834,average power ratio reduction,gross profit ratio,H04,0.0
44417f62c42da8f4,average power ratio reduction,peak power reduction,H04,0.5
98458994d5be4ea5,average power ratio reduction,peak power suppression,H04,0.5
138fdd63c8aa4b5a,average power ratio reduction,peak ratio reduction,H04,0.25
d1c455d312118e6d,average power ratio reduction,peak ratio suppression,H04,0.25
cdd89c4a83656a94,average power ratio reduction,peak reducing signal,H04,0.5
cf980e6749160126,average power ratio reduction,power difference,H04,0.25
ce9d3db9c5952680,average power ratio reduction,power optimisation,H04,0.25
270dfffb00c9fafb,average power ratio reduction,power outage,H04,0.0
5c4f9b96c4896e9c,average power ratio reduction,power ratio,H04,0.5
4c7822ed2727f8e6,average power ratio reduction,power sharing,H04,0.25
19efb6734e31154c,average power ratio reduction,ratio spread,H04,0.0
968814afb88a9c61,average power ratio reduction,reducing average power,H04,0.5
d003f73ea6fb8576,average power ratio reduction,reducing ratio of power range,H04,0.75
4df1cc155ce5e715,average power ratio reduction,two stage index modulation,H04,0.5
3827b0d844933938,bandedge,color,G02,0.0
134167fd2f4fe2a8,bandedge,main peak,G02,0.5
672782d450fcb539,bandedge,maximum,G02,0.25
5b8ccd72297ccf61,bandedge,maximum peak,G02,0.5
88dc23f49ec264f7,bandedge,peak,G02,0.5
5165ca65b713c658,bandedge,simultaneous,G02,0.0
98e4ab015483b2bc,bandedge,wavelength,G02,0.25
0f56aa5226f5f641,based interpolation,based on a true story,H04,0.0
2f28397c899e27d9,based interpolation,chemical based,H04,0.0
aef1add4124d5b31,based interpolation,computation,H04,0.25
c2285def6a32997a,based interpolation,distance based interpolation,H04,0.5
2ef976f1f9c657e6,based interpolation,electronic interpolation,H04,0.5
8db38c70090d103c,based interpolation,equation,H04,0.0
7e6a9a7f12598e30,based interpolation,estimator,H04,0.25
d083bac63f9d4a07,based interpolation,extrapolation techniques,H04,0.25
42051ea4d9b73fbb,based interpolation,function,H04,0.0
239c1c9f8e84ee27,based interpolation,interpolated points,H04,0.5
3276a89ffa547dcd,based interpolation,interpolation,H04,0.5
6507dafbb028d24e,based interpolation,interpolation based,H04,1.0
3aa9ec1ee691882a,based interpolation,inverse distance weighting interpolation,H04,0.5
5ea3cf788731e516,based interpolation,known good component,H04,0.25
4f46b8468e9d7a25,based interpolation,linear equation,H04,0.0
8ff33fed8f841b39,based interpolation,linear interpolation,H04,0.5
7ab90877749af2b7,based interpolation,linear pair,H04,0.0
140c2d17a45361e7,based interpolation,multivariate interpolation,H04,0.5
86537b23e9760afc,based interpolation,numeric analysis,H04,0.5
04968efc33076f9d,based interpolation,organic based,H04,0.0
7d3c49b0c5fda9d2,based interpolation,resampling function,H04,0.25
10f3abc3e194c0e8,based interpolation,signal interpolation,H04,0.5
040c962bdd1fd0b1,based interpolation,statistical extrapolation,H04,0.25
7fe0f2dd16fc84b6,based interpolation,traffic signal,H04,0.0
d45a1fdfb3452b13,based method,artificial intelligence based method,H04,0.5
62837a7691c7431b,based method,bank,H04,0.0
820d4d5c1a08e3d1,based method,bank capable,H04,0.0
8ce4185023c4c5d0,based method,bank method,H04,0.0
a007483a16279154,based method,bank methods,H04,0.0
843ea0bf870cb4f5,based method,based on communication,H04,0.25
c6b16dff420ff1ad,based method,based step,H04,0.75
5d383465ecefbb75,based method,calculation method,H04,0.5
16b2e9d54ba3c873,based method,chocolate based,H04,0.0
71904eac386a12e1,based method,circuit based method,H04,0.5
e39a438ec24eb6b5,based method,circuit capable,H04,0.0
4788be4ec3bffa1f,based method,circuit method,H04,0.25
cb5a33e139179ac9,based method,compared to not using the method,H04,0.25
ddae558152bc6038,based method,cream based,H04,0.0
96cfc9df1d2e60c2,based method,federated learning based method,H04,0.5
2aab58422ee8b10f,based method,implemented,H04,0.5
bb24a692b8dd141d,based method,implemented system,H04,0.5
75c9498ef343fb75,based method,internet based method,H04,0.5
e368055508954e66,based method,methods,H04,0.5
f59c7b16a00f71e4,based method,not based on,H04,0.25
8caef3705761ee2e,based method,ocean based,H04,0.0
7e14cf50d75c850d,based method,power switching method,H04,0.25
3dc7ad4ef5b3ecfa,based method,process based,H04,0.75
4474b9fde21110f4,based method,program,H04,0.0
da9cd881e309f626,based method,program system,H04,0.25
de993541deb12e43,based method,protocol based,H04,0.25
c1cd21f8fc3033fa,based method,provide computer based method,H04,0.5
e7f36fae87ad95d5,based method,segmentation based method,H04,0.5
d4738d796531b471,based method,substitution method,H04,0.0
a2007218cefc150f,based method,unitary method,H04,0.0
593574457f410719,based method,water based,H04,0.0
d916769c7e663033,based method,without using any method,H04,0.25
ac3770d08940d927,blooming drains,anti blooming gates,H04,0.25
20ec01171b022a8e,blooming drains,anti blooming structure,H04,0.25
53897ad418dd7222,blooming drains,anti blooming transistor,H04,0.25
9141113678afbcf8,blooming drains,blood drains,H04,0.0
9a5671fdab45f25b,blooming drains,blooming,H04,0.0
3ee00ad21e6307a6,blooming drains,blooming barrier region,H04,0.75
4f759f9063e94f40,blooming drains,blooming barriers,H04,0.75
d49c517bd7a46469,blooming drains,blooming drain region,H04,0.75
3edefdfb24283fe8,blooming drains,blooming flower,H04,0.0
907e3816ceed06f9,blooming drains,blooming high doped region,H04,0.5
b3f157e44588663d,blooming drains,blooming pink flowers,H04,0.0
3cd14338c9976027,blooming drains,blooming season,H04,0.0
592ce7eeb02f253a,blooming drains,blooming transistor,H04,0.5
6da1c865d2fe2f5c,blooming drains,charge coupled device multiplexer,H04,0.5
de52e49ab8a0d393,blooming drains,digital blooming drains,H04,0.5
b06fe30863079d94,blooming drains,directing excess charge,H04,0.25
caff7f07125375bf,blooming drains,gate valve,H04,0.0
e50e9407db006bb2,blooming drains,gate vector,H04,0.0
73c132f3bf1e86cb,blooming drains,lateral blooming drains,H04,0.5
a45199e1d8eabc8e,blooming drains,preventing blooming,H04,0.25
ad322eba1991a0de,blooming drains,source drain extensions,H04,0.25
7564d80857d4c0a0,blooming drains,type barrier layer,H04,0.25
26a9366bd9e70b05,blooming drains,undepleted region,H04,0.5
a3625b389bbbed5a,blooming drains,waste water drains,H04,0.0
85f7a379f36536fd,broadband information,analog channel information,H04,0.25
9881557797d4e9ae,broadband information,architecture,H04,0.0
9129888f067c1735,broadband information,band aid,H04,0.0
8ef4e7ab5f2d03e3,broadband information,bandwidth information,H04,0.75
81cf0008955c7b20,broadband information,broad band information,H04,1.0
9d5607e35b66059b,broadband information,broadband,H04,0.5
b42f9a7203745f04,broadband information,broadband communication,H04,0.5
9511212782bbadfd,broadband information,broadband signals,H04,0.75
0e27e6e2515f0605,broadband information,citizen information,H04,0.0
4e3605088677334b,broadband information,coaxial cable,H04,0.25
a24eb0599c3ed581,broadband information,configuration,H04,0.25
a70051d9de9a61f7,broadband information,conventional broadband communication,H04,0.5
38d59c5220e0ab28,broadband information,conventional broadband information,H04,0.75
8ee1388d2b616258,broadband information,conventional information,H04,0.25
940c5f5988492d6e,broadband information,dial up connection,H04,0.25
0d5a03da218be480,broadband information,fisher information,H04,0.0
3fa96a277b851334,broadband information,high speed internet data,H04,0.5
8e5f004c079b6b50,broadband information,high speed internet information data,H04,0.75
f3dffc63a2daf0b0,broadband information,media,H04,0.25
a88e5301e72665b9,broadband information,narrowband information,H04,0.25
786133e23e5ac95c,broadband information,network,H04,0.5
65594cda7f8dca96,broadband information,storage resources information,H04,0.25
a95544dc2b1bfc6c,broadband information,twisted pair,H04,0.25
5f2ce840c4e355c1,broadband information,typical broadband communication,H04,0.5
3f2775914d180c48,broadband information,typical broadband information,H04,0.75
7356d623bd34667d,broadband information,typical information,H04,0.0
3eede17c5e63f484,broadband information,vehicle information,H04,0.0
a7bd3a022b13d87c,broadband information,wide angle lens,H04,0.0
bca592d468a97f4c,broadband information,wide band communication,H04,0.5
19055ac65254c4eb,broadband information,wide band frequency information,H04,0.75
826d7b10f928ca1f,broadband information,wide bandwidth data,H04,0.75
552bbcc3dc1c91fb,broadband information,wide monitor,H04,0.0
bc62fa04b5f68a18,broadband information,wifi information,H04,0.5
95e9a2c5de8364d7,browsers,application format,H04,0.0
d94b38df4276fab1,browsers,applications,H04,0.5
ec9e6482acdefe87,browsers,applications executing,H04,0.5
6a3ada3ac2873ea8,browsers,applications running,H04,0.5
84ae1b1fd13ada9a,browsers,brochure design,H04,0.0
748c7721daf6e93d,browsers,brochure templates,H04,0.0
24d72ff65701b09b,browsers,browser,H04,1.0
5a872bb23fc379b6,browsers,browsers executing,H04,0.75
13d81f4cfcc73245,browsers,browsers running,H04,0.75
e16739cdc3860be3,browsers,browsers types,H04,0.5
e1c8f7c6da8d87a6,browsers,browsing center,H04,0.0
bdbed5eeaa66abe5,browsers,cloud desktop browsers,H04,0.5
5a0bd912ec6ccfe1,browsers,cloud queue,H04,0.25
864e47868658c844,browsers,internet,H04,0.25
858a43c2601e33e4,browsers,internet service provider,H04,0.5
46ed26edc392d2d3,browsers,ip address,H04,0.25
7fe0f57ee63fa917,browsers,loan application,H04,0.0
49d9c22bcd1da40f,browsers,mobile browsers,H04,0.5
86a5210603868a8e,browsers,multiple browsers,H04,0.75
7b51035bd1015ab6,browsers,point cloud,H04,0.25
617b14e357937a76,browsers,resources,H04,0.25
8f567d5868f6f452,browsers,use browsers,H04,0.5
491fa56fbe958884,browsers,visual graphic codes,H04,0.25
0b133198d2e2aa11,browsers,voice browsers,H04,0.5
4c21095872d8c2dc,browsers,web applications,H04,0.5
d54841f48856aebe,browsers,web browser programs,H04,0.5
a3d83cd4ad2c5911,browsers,web browsers,H04,0.75
29b110570609b3e4,browsers,web camera,H04,0.0
5c57a4951f7d59ca,browsers,web sites,H04,0.5
be03410f81e3dac9,cable securing,cable,G02,0.25
3471b2a15e904323,cable securing,cable attaching unit,G02,0.5
7cc035d035af4a76,cable securing,cable gland,G02,0.0
7e43d80eab7ca5de,cable securing,cable light,G02,0.0
c9d80bd70344949c,cable securing,cable losing,G02,0.25
a6ae346e43c81237,cable securing,cable safety,G02,0.5
45aff094e2be588b,cable securing,cable securement,G02,1.0
40b63b35e5a382d5,cable securing,cable securing device,G02,0.75
6ee8841d5bc7f740,cable securing,cable securing mechanism,G02,0.75
58bcd723890ffef7,cable securing,cable tv,G02,0.0
125cc52bebb3b04d,cable securing,clamping,G02,0.5
8b8d54c3b736c8be,cable securing,conductor securing,G02,0.75
f4c5c6d739982bfa,cable securing,electrical,G02,0.25
d5f0b9ecb1a4d7d9,cable securing,fastening wire,G02,0.5
8b61aeb830c55f00,cable securing,retaining cap,G02,0.5
6dfa3a8bfc18707c,cable securing,secure device,G02,0.0
39df8b0e6d0b3d64,cable securing,secure time,G02,0.0
6f191c1edd89898e,cable securing,securing,G02,0.5
22e7ffb6cf7a1cb9,cable securing,securing a cable,G02,1.0
13f4b1132edbe67e,cable securing,unit folder,G02,0.0
fb42841b5aa5b67b,cable securing,unprotected executable file,G02,0.25
e1ced86d93e89814,cable securing,unprotected network,G02,0.25
6b28fcc1f3d9786b,cable securing,unprotected virtual machine,G02,0.25
24594837a84d7f0d,calling card,automated calling card,H04,0.5
452beca2601a4974,calling card,automatic dialing card,H04,0.25
99611f44405d6b44,calling card,birthday card,H04,0.0
c5b48eecd6fdf51e,calling card,calling card number,H04,0.75
28e4fa4d6deca62f,calling card,calling console,H04,0.25
d3f5bc85ee3edf3e,calling card,calling console number,H04,0.5
6284c1d4593be2a0,calling card,calling free number,H04,0.5
f02d830aee843f82,calling card,calling help,H04,0.0
95954d8be84b1c22,calling card,calling number,H04,0.75
22475b03b97199be,calling card,calling telephone,H04,0.25
31fe781c286f3e27,calling card,card reading module,H04,0.25
f9a74b09cd14afcc,calling card,debit card,H04,0.25
999875a31f487048,calling card,greeting card,H04,0.0
ce68428fdf970446,calling card,long distance access number,H04,0.5
ad8420585d9b9113,calling card,mobile console,H04,0.0
51559e2cdcfe8e88,calling card,phone,H04,0.25
3a0b0a4f5debb5b7,calling card,prepaid calling card,H04,0.5
1cdf8ed7df4fbfb0,calling card,prepaid calling cards,H04,0.5
342b2e38f43ea529,calling card,prepaid phone,H04,0.25
4c1e5f390c7ecef2,calling card,purchasing card,H04,0.0
fe84e68d63f9f51f,calling card,quick call,H04,0.25
73dc120c52057f18,calling card,shopping card,H04,0.0
d0a7663e96e5c712,calling card,telephone,H04,0.25
1f8a6b77a440a36b,calling card,telephone calling card,H04,0.75
248286d5c5cabed2,calling card,telephone charge card,H04,0.75
26f470e9c6f92e8f,calling card,telephone number,H04,0.5
88018f1a40b6bce1,calling card,toll card number,H04,0.5
121e18ed7d45f2cf,calling card,toll free number,H04,0.25
436abdae21d4c21f,cathode layer,anode layer,G02,0.25
effc4dbc6c96ae3b,cathode layer,cathode,G02,0.5
c0f48579d1a6fc90,cathode layer,cathode active layer,G02,0.5
699e99634011126a,cathode layer,cathode active material,G02,0.5
eb3d583543f140a7,cathode layer,cathode conductive layer,G02,0.5
a7fff273b9b93d40,cathode layer,cathode conductive material,G02,0.5
25b14e8e71554079,cathode layer,cathode electrode,G02,0.5
aad60c776c371d05,cathode layer,cathode film,G02,0.75
387f18f873931e44,cathode layer,cathode film layer,G02,0.75
dfc816109d041aec,cathode layer,cathode film material,G02,0.5
60a6aa4b28409456,cathode layer,cathode material,G02,0.5
8d6a49c3e650935b,cathode layer,cathode substrate,G02,0.75
ae106b698c90f354,cathode layer,conductive layer,G02,0.5
b98369d4e68b7539,cathode layer,conductive material,G02,0.5
3f1e947c14e0cab8,cathode layer,electrode layer,G02,0.5
dde113e63c567070,cathode layer,electrode material,G02,0.5
ac9641b1777b2068,cathode layer,electrolyte,G02,0.25
2e7b982a87a578c2,cathode layer,intermediate electrode,G02,0.5
4e29ade49d6faaca,cathode layer,intermediate layer,G02,0.5
956e0a5ad2ffd43e,cathode layer,layer,G02,0.5
47dca1caef184d57,cathode layer,substrate,G02,0.5
60554667432ed9af,cathode layer,substrate layer,G02,0.5
02b5f10c83215765,cathode layer,thin active layer,G02,0.25
46fec931114df63e,cathode layer,thin active material,G02,0.5
705605e4428078f6,cathode layer,thin film,G02,0.25
14e7b7f1a679cf0c,cathode layer,thin film layer,G02,0.5
6b28404a78d4dad9,cathode layer,thin film material,G02,0.25
b447b723809e8dd3,cathode layer,thin layer,G02,0.5
154b9aa33a6e90f8,cervical support,base,G02,0.5
2f21c68a35efcbb5,channel vectors,channel,H04,0.5
29a69e2c540f3b49,channel vectors,channel coefficient vector,H04,0.75
1882107e3202e8f7,channel vectors,channel covariance matrix,H04,0.5
3c8e8b15d2721b27,channel vectors,channel of vectors,H04,0.0
370da741c14a107a,channel vectors,channel response matrices,H04,0.5
aae3bccb711b3afd,channel vectors,channel vector,H04,1.0
ff7aef2cf3b54d3b,channel vectors,channel weight vector,H04,0.5
b1d0c256e7bc2af5,channel vectors,channels,H04,0.5
5d9e69bd63e69979,channel vectors,channels of vectors,H04,0.0
bdad9f8491eb3690,channel vectors,channels vector,H04,1.0
55deed59fd57c2dd,channel vectors,channels vectors,H04,1.0
0c666de9de58f917,channel vectors,complex channel gains,H04,0.25
5b394b05b6bd4d31,channel vectors,directionless switch,H04,0.25
b6dd1137f1f76d5b,channel vectors,open areas,H04,0.25
ae935f33fafdd638,channel vectors,predictive motion vector,H04,0.25
62611fbfe8c29455,channel vectors,receive communications channel,H04,0.5
be78a7110cc1c62b,channel vectors,reception vectors,H04,0.5
c0c081f0e833d655,channel vectors,respective channel,H04,0.5
b1906bb093d1366d,channel vectors,respective channel vectors,H04,0.75
33aa2122871caebd,channel vectors,respective vector,H04,0.5
bda5bfdbafa22513,channel vectors,signals,H04,0.25
e5342ce61d0477d3,channel vectors,steering vectors,H04,0.5
fc4b21f75b5f2053,channel vectors,symbols vector,H04,0.25
77b9ef9827d60840,channel vectors,transmission channels,H04,0.5
f786502b63b68f2a,channel vectors,transmission vectors,H04,0.5
26877e4a1f63ada6,channel vectors,transmit weight vectors,H04,0.25
48d08aed556f4b74,channel vectors,vector,H04,0.5
c252b6a97c28d13f,channel vectors,vector art,H04,0.0
3751f974d83a8d43,channel vectors,vector channel,H04,0.5
492dfae10e7ba230,channel vectors,vector graphics,H04,0.0
8b8a9763e116685b,channel vectors,vector illustrator,H04,0.0
26d25ddbdf497eb4,channel vectors,vector quantity,H04,0.0
0fe59b2198f92347,channel vectors,vectors,H04,0.5
12dba5e40f26b076,channel vectors,weather channel,H04,0.0
a3b1f11159a80d6d,clear buffer,accumulated count,G02,0.25
9c996282d91b8b44,clear buffer,buffer,G02,0.5
15138731c18557dc,clear buffer,buffer free,G02,0.5
acc6fbab37ebd5d7,clear buffer,calculation device,G02,0.25
b1bc6bd8509f6b2c,clear buffer,charge a battery,G02,0.25
314cb9fdb57e3b58,clear buffer,clear,G02,0.5
33652d948761f506,clear buffer,clear base,G02,0.5
5febe87c47030476,clear buffer,clear cache,G02,0.75
315483d0c06a5adf,clear buffer,clear dirt,G02,0.0
2c1415da89091901,clear buffer,clear skies,G02,0.0
d26ced331bc7266f,clear buffer,clear window,G02,0.0
a5d2ef7abf04b99f,clear buffer,clearing the buffer,G02,0.75
aa64285e881c9656,clear buffer,coating,G02,0.25
8a5cd26a3fdb6175,clear buffer,data,G02,0.25
2d4daf33c1ac6e2d,clear buffer,default buffer,G02,0.5
948c00931cdfa1d8,clear buffer,default system,G02,0.0
788249cbd84c9e39,clear buffer,erase buffer,G02,0.75
5e312da39731b052,clear buffer,filling a fuel tank,G02,0.25
12ef5bf0bb236656,clear buffer,flush buffer,G02,0.75
4fc8eafbceceb0dc,clear buffer,free device,G02,0.0
14d8c5c461e8e9e7,clear buffer,free fire,G02,0.0
ebce2c67ed23c856,clear buffer,functional,G02,0.0
657e275c48395ea7,clear buffer,no buffer,G02,0.5
ac7d01e806d49a99,clear buffer,non clear buffer,G02,0.25
9e3eca9780ed955c,clear buffer,polymer,G02,0.0
44c60f90a138e30a,clear buffer,transparent,G02,0.5
12d76dafe4a27993,clear buffer,transparent base,G02,0.25
b79118d7d07067c8,clear buffer,transparent buffer,G02,0.75
26828552e5f6ecb5,collator,arithmetic circuit,H04,0.25
c35888d5b7d66e67,collator,arithmetic device,H04,0.25
916ce7e1d6f09aa6,collator,collating apparatus,H04,0.75
5ebc670997b9c61b,collator,collating device,H04,0.75
c4ef1b4f79424269,collator,collation apparatus,H04,0.75
d74b6dafbfac6e78,collator,demodulator,H04,0.0
c0cc8906d5440ac7,collator,microcomputer,H04,0.0
a521f209beb88d98,collator,receiver,H04,0.5
a58c0a9a1d62fc3f,collator,simulation device,H04,0.25
ecc6188cf9e84967,color difference signal,bg color difference signal,H04,0.5
171d9a2f4db4923e,color difference signal,brightness signal,H04,0.25
300a3584c8ebd57d,color difference signal,chrominance,H04,0.5
bfed615597dee3ec,color difference signal,chrominance signal,H04,0.5
d6cd5ae82bb98b83,color difference signal,chrominance signal component,H04,0.75
e60aad7760617399,color difference signal,chrominance signals,H04,0.5
f22e2524c06ed0eb,color difference signal,color chrominance signal,H04,0.75
ef621ebad6691dd8,color difference signal,color chrominance signals,H04,0.75
b68ce5976d0187e7,color difference signal,color difference line,H04,0.5
4e069ae57725b554,color difference signal,color difference signals,H04,1.0
73ae5c080fa7e605,color difference signal,color pen,H04,0.0
aa6294d9ba1196d2,color difference signal,color pencil,H04,0.0
ff9761de7e7ecb80,color difference signal,color ratio signal,H04,0.75
4982303a938d59f3,color difference signal,color signal,H04,0.5
b84da4feefaa99d8,color difference signal,color signal light from source,H04,0.5
c9571a83acfaaad6,color difference signal,color signals,H04,0.5
eddec9178e4197b7,color difference signal,color vector,H04,0.0
daa85fa907a8775d,color difference signal,color video signal,H04,0.25
cd70905a4361fd33,color difference signal,color wheel,H04,0.0
38ae408e0204dc98,color difference signal,current difference signal,H04,0.25
18317f6f93d28cdc,color difference signal,data,H04,0.25
4d73d3b442cb1d8a,color difference signal,data signal,H04,0.25
51c391efb65653b2,color difference signal,difference in code,H04,0.0
2552ab8ec80d3195,color difference signal,difference output signal,H04,0.25
3f4f3b9ac8c11e90,color difference signal,different color value,H04,0.75
7b7bd41091fc155f,color difference signal,form difference signal,H04,0.25
6ef9fd286e0faa56,color difference signal,frequency difference signal,H04,0.25
42b91b24583fb2bd,color difference signal,image pickup apparatus,H04,0.25
bedea32095c82135,color difference signal,luminance data,H04,0.25
0cfec673046f552c,color difference signal,luminance signal,H04,0.5
af36696a5392d93c,color difference signal,phase difference signal,H04,0.25
007c89f0ab46ac45,color difference signal,random color,H04,0.0
25dd8a1e9411f34a,color difference signal,rg chrominance signal,H04,0.5
8b50d4f280c7c0e7,color difference signal,rg chrominance signals,H04,0.5
cec2bd74fdb4136c,color difference signal,rg difference signal,H04,0.5
8b16303a726b46c3,color difference signal,rg difference signals,H04,0.5
ff51133a484e1e77,color difference signal,video signals,H04,0.25
70dfa6b68d2bf585,combination function,code combination function,H04,0.5
da459ec19995eb40,combination function,combination,H04,0.5
77aff957b2740473,combination function,combination function generation,H04,0.75
096e3286a252d059,combination function,combination functional,H04,1.0
3651492759bfc348,combination function,combination reaction,H04,0.0
5cc0a157dddfcf26,combination function,combinational circuit,H04,0.5
